flight_id,subseq_id,window_idx,t_end,err_Latitude,err_Longitude,err_AltB,err_BaroA,err_OAT,err_GndSpd,err_VSpd,err_Pitch,err_Roll,err_LatAc,err_NormAc,err_HDG,err_TRK,err_volt1,err_volt2,err_amp1,err_amp2,err_FQtyL,err_FQtyR,err_E1_FFlow,err_E1_OilT,err_E1_OilP,err_E1_RPM,err_E1_CHT2,err_E1_CHT4,err_E1_EGT2,err_E1_EGT4,err_TAS,err_CRS,err_NAV1,err_NAV2,err_COM1,err_COM2,err_MagVar,err_VSpdG,err_HAL,err_HPLfd
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3346,3345,0.00047389999999580823,-0.0006122000000061689,2.0,0.0,0.0,0.4299999999999784,137.45000000000002,0.3999999999999999,-0.8599999999999999,0.03,0.03,1.5,0.5,0.0,0.0,0.0,-1.3645500000000002e-18,-0.05000000000000071,0.0,-0.040000000000000036,-0.009999999999990905,-0.03999999999999204,10.599999999999909,0.0,0.01999999999998181,0.6800000000000637,0.4800000000000182,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69999999999999,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3347,3346,0.00043920000000241544,-0.0005843999999939342,-11.0,0.0,0.0,0.36000000000001364,-72.84,0.3700000000000001,0.23999999999999977,0.04,0.020000000000000004,0.5999999999999943,0.30000000000001137,0.0,0.0,0.0,-1.3645500000000002e-18,-0.09999999999999787,0.0,0.05999999999999961,0.0,0.29999999999999716,-1.099999999999909,0.0,-0.01999999999998181,0.7000000000000455,0.14999999999986358,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.30000000000001,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3348,3347,0.0005199000000004617,-0.0005871000000041704,-3.0,0.0,0.0,0.3199999999999932,-43.97000000000003,0.06999999999999984,-2.37,-0.07,-0.04,-0.799999999999983,0.39999999999997726,0.0,0.0,0.0,-1.3645500000000002e-18,-0.0400000000000027,0.0,-0.03000000000000025,-0.010000000000019327,0.12999999999999545,-3.700000000000273,0.0,0.0,0.8800000000001091,0.3100000000001728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.69999999999999,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3349,3348,0.0004928999999975758,-0.0005821999999966465,3.0,0.0,0.0,0.09000000000000341,188.62000000000003,0.40000000000000013,0.42,0.019999999999999997,0.03,0.5,0.20000000000001705,0.0,0.10000000000000142,0.0,-1.3645500000000002e-18,0.0,0.0,0.07000000000000028,0.0,0.15000000000000568,5.599999999999909,0.0,0.0,1.1499999999998636,-1.0199999999999818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,-0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3350,3349,0.00046589999999469,-0.0005848999999926718,0.0,0.0,0.0,-0.060000000000002274,108.08999999999999,0.43999999999999995,1.55,0.04,0.04,0.6999999999999886,0.09999999999999432,0.0,-0.10000000000000142,0.0,-1.3645500000000002e-18,0.0,0.0,-0.009999999999999787,-0.009999999999990905,-0.4200000000000017,5.600000000000364,0.0,-0.009999999999990905,0.7100000000000364,-1.040000000000191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.300000000000004,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3351,3350,0.0004428000000018528,-0.0005953000000005204,-3.0,0.0,0.0,-0.06999999999999318,-36.769999999999996,0.13,-0.9100000000000001,-0.019999999999999997,0.05,-0.09999999999999432,0.30000000000001137,0.0,0.0,0.0,-1.3645500000000002e-18,0.0400000000000027,0.0,-0.07000000000000028,0.0,0.269999999999996,2.5,0.0,0.009999999999990905,0.9900000000000091,0.07000000000016371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3352,3351,0.0005158000000022867,-0.0006056999999941581,-1.0,0.0,0.0,-0.1599999999999966,-6.049999999999997,0.14,-0.4899999999999999,-0.01,-0.05,-0.6999999999999886,0.39999999999997726,0.0,0.0,0.0,-1.3645500000000002e-18,-0.07000000000000028,0.0,-0.03000000000000025,0.020000000000010232,0.04999999999999716,-5.0,0.0,0.009999999999990905,0.6099999999999,0.849999999999909,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3353,3352,0.0004849999999976262,-0.0006236000000114927,6.0,0.0,0.0,-0.25,150.95999999999998,-0.040000000000000036,-1.34,-0.01,-0.06,0.19999999999998863,0.10000000000002274,0.0,0.0,0.0,-1.3645500000000002e-18,-0.05000000000000071,0.0,0.11000000000000032,0.009999999999990905,0.04999999999999716,2.699999999999818,0.0,-0.009999999999990905,-0.029999999999972715,0.9700000000000273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3354,3353,0.0004580000000018458,-0.0006340000000051305,7.0,0.0,0.0,-0.37000000000000455,136.83,0.42000000000000004,0.86,0.0,0.030000000000000002,0.5,0.0,0.0,0.10000000000000142,0.0,-1.3645500000000002e-18,-0.07000000000000028,0.0,-0.03000000000000025,0.009999999999990905,-0.14999999999999147,0.6999999999998181,0.0,0.01999999999998181,-0.4700000000000273,1.5199999999999818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.699999999999989,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,3355,3354,0.0004272000000042908,-0.0006519999999881065,-3.0,0.0,0.0,-0.37000000000000455,-26.27000000000001,-0.07,-0.89,0.02,-0.07,0.6999999999999886,0.0,0.0,-0.10000000000000142,0.0,-1.3645500000000002e-18,0.0,0.0,0.0,0.020000000000010232,0.35999999999999943,3.0,0.0,0.020000000000038654,-0.14999999999986358,0.32999999999992724,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.400000000000006,0.0,-0.5
