flight_id,subseq_id,window_idx,start_idx,end_idx,mae_Latitude,mae_Longitude,mae_AltB,mae_BaroA,mae_OAT,mae_GndSpd,mae_VSpd,mae_Pitch,mae_Roll,mae_LatAc,mae_NormAc,mae_HDG,mae_TRK,mae_volt1,mae_volt2,mae_amp1,mae_amp2,mae_FQtyL,mae_FQtyR,mae_E1_FFlow,mae_E1_OilT,mae_E1_OilP,mae_E1_RPM,mae_E1_CHT2,mae_E1_CHT4,mae_E1_EGT2,mae_E1_EGT4,mae_TAS,mae_CRS,mae_NAV1,mae_NAV2,mae_COM1,mae_COM2,mae_MagVar,mae_VSpdG,mae_HAL,mae_HPLfd
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,955,4775,4804,0.0004787000000021635,2.4999999993724487e-05,1.0,0.0,0.0,0.29000000000000625,69.85999999999999,0.56,0.25,0.0,0.11,0.19999999999998863,0.5999999999999943,0.0,0.0,0.0,1.3645500000000002e-18,0.0,0.0,0.03000000000000025,0.020000000000010232,0.03999999999999204,2.700000000000273,0.19999999999998863,0.12000000000000455,0.7699999999999818,0.2599999999999909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,956,4780,4809,0.00047059999999987667,4.999999987376214e-07,6.0,0.0,0.0,0.269999999999996,163.82,0.5699999999999998,1.9900000000000002,0.02,0.0,0.799999999999983,0.5,0.0,0.0,0.0,1.3645500000000002e-18,0.13000000000000256,0.0,0.0600000000000005,0.020000000000010232,0.1799999999999926,8.699999999999818,0.35000000000002274,0.22000000000002728,0.5499999999999545,0.2999999999999545,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8999999999999986,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,957,4785,4814,0.00044710000000236505,8.359999999640877e-05,5.0,0.0,0.0,0.12000000000000455,67.44,0.06000000000000005,0.6800000000000002,0.07,0.01,2.0,0.19999999999998863,0.10000000000000142,0.0,0.0,1.3645500000000002e-18,0.0,0.05000000000000071,0.9900000000000002,0.030000000000001137,1.2199999999999989,105.59999999999991,0.37999999999999545,0.27000000000003865,2.2100000000000364,0.9699999999997999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.80000000000001,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,958,4790,4819,0.0005045999999993,4.0099999992548874e-05,15.0,0.0,0.0,0.1799999999999926,135.98000000000008,1.4800000000000002,1.14,0.01,0.020000000000000018,0.10000000000002274,0.19999999999998863,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.14000000000000057,0.05000000000000071,0.010000000000000231,0.04999999999998295,0.07000000000000028,9.5,0.39999999999997726,0.20999999999997954,6.9500000000000455,8.850000000000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,959,4795,4824,0.0005227999999988242,3.170000000807249e-05,3.0,0.0,0.0,0.45000000000000284,342.97000000000014,0.45999999999999996,1.28,0.0,0.03,1.0,0.4000000000000057,0.0,0.10000000000000142,0.09999999999999987,1.3645500000000002e-18,0.020000000000003126,0.04999999999999716,0.040000000000000036,0.030000000000001137,0.01999999999999602,5.0,0.6299999999999955,0.410000000000025,3.3599999999999,4.309999999999945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,224.39999999999998,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,960,4800,4829,0.0005261000000018612,2.2399999991762343e-05,7.0,0.0,0.0,1.259999999999991,29.670000000000016,1.5999999999999999,7.26,0.04,0.08000000000000002,1.5,2.0999999999999943,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.0,0.0,0.04999999999999982,0.030000000000001137,0.05000000000000426,0.5,0.7900000000000205,0.4000000000000341,1.8600000000001273,3.4700000000000273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,192.9,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,961,4805,4834,0.00040510000000182345,0.0002913000000006605,7.0,0.0,0.0,2.019999999999996,143.2,0.040000000000000036,2.849999999999998,0.03,0.03,5.400000000000006,5.5,0.0,0.10000000000000142,0.09999999999999987,1.3645500000000002e-18,0.030000000000001137,0.060000000000002274,0.029999999999999805,0.060000000000002274,0.01999999999999602,8.199999999999818,0.8500000000000227,0.5799999999999841,3.099999999999909,3.0700000000001637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,962,4810,4839,0.00020889999999695874,0.00045889999999815245,5.0,0.0,0.0,1.3800000000000097,124.81,1.44,0.9700000000000024,0.05,0.09999999999999999,7.400000000000006,5.599999999999994,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.019999999999999574,0.09999999999999787,0.03000000000000025,0.020000000000010232,0.20000000000000284,1.7000000000000455,0.9300000000000068,0.6200000000000045,3.4300000000000637,2.990000000000009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,157.5,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,963,4815,4844,4.679999999979145e-05,0.0005910000000000082,15.0,0.0,0.0,0.01999999999999602,164.55,0.7599999999999998,5.8100000000000005,0.020000000000000004,0.049999999999999996,0.7000000000000028,3.1999999999999886,0.0,0.0,0.0,1.3645500000000002e-18,0.09999999999999787,0.14999999999999858,0.009999999999999787,0.030000000000001137,0.269999999999996,18.40000000000009,0.8600000000000136,0.6200000000000045,1.0199999999999818,7.209999999999809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.800000000000068,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,964,4820,4849,1.9699999995737016e-05,0.0005910000000000082,11.0,0.0,0.0,0.01999999999999602,41.72000000000003,0.26000000000000023,2.63,0.11,0.06999999999999999,1.5,0.3999999999999915,0.0,0.0,0.0,1.3645500000000002e-18,0.05999999999999872,0.05999999999999872,0.029999999999999805,0.060000000000002274,0.14000000000000057,5.2999999999999545,0.7800000000000296,0.6399999999999864,1.1899999999998272,5.019999999999982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,965,4825,4854,2.810000000152968e-05,0.0005604999999917482,8.0,0.0,0.0,0.4299999999999926,62.43000000000001,0.06000000000000005,0.7599999999999998,0.04,0.06,1.3000000000000114,0.6999999999999886,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.0,0.05999999999999872,0.010000000000000231,0.060000000000002274,0.030000000000001137,2.7999999999999545,0.6899999999999977,0.660000000000025,0.1799999999998363,1.6400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8999999999999773,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,966,4830,4859,9.520000000406981e-05,0.00040460000001019125,3.0,0.0,0.0,3.0900000000000034,137.59999999999997,0.6900000000000001,0.4400000000000013,0.02,0.03,6.799999999999997,7.299999999999997,0.0,0.0,0.0,1.3645500000000002e-18,0.0,0.05000000000000071,0.050000000000000266,0.030000000000001137,0.12999999999999545,4.2999999999999545,0.6399999999999864,0.4900000000000091,0.03999999999996362,0.42000000000007276,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43.299999999999955,0.0,5.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,967,4835,4864,0.00024499999999960664,0.00022290000001135013,15.0,0.0,0.0,1.6400000000000006,147.64999999999998,0.04999999999999982,1.8400000000000034,0.08,0.0,4.300000000000001,6.600000000000001,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.07000000000000028,0.04999999999999716,0.06000000000000005,0.009999999999990905,0.020000000000003126,2.5,0.6100000000000136,0.4800000000000182,1.0200000000002092,1.1199999999998909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,968,4840,4869,0.0002618999999981497,3.4999999911633495e-06,9.0,0.0,0.0,0.21000000000000085,16.360000000000014,0.33000000000000007,2.73,0.020000000000000004,0.07,0.6999999999999886,2.8999999999999995,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.0,0.129999999999999,0.029999999999999805,0.009999999999990905,0.020000000000003126,6.099999999999909,0.5199999999999818,0.5400000000000205,0.6099999999999,0.4299999999998363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.30000000000007,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,969,4845,4874,0.00022839999999746396,1.260000000513628e-05,14.0,0.0,0.0,0.28999999999999915,67.44000000000005,0.5,1.4200000000000002,0.03,0.03,1.3999999999999773,0.5,0.0,0.0,0.40000000000000013,1.3645500000000002e-18,0.16000000000000014,0.09999999999999787,0.03000000000000025,0.009999999999990905,0.09000000000000341,3.2000000000000455,0.5099999999999909,0.4300000000000068,0.4099999999998545,0.5199999999999818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.10000000000002,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,970,4850,4879,0.0002253999999979328,4.900000007523886e-06,13.0,0.0,0.0,0.25,114.70000000000005,0.2100000000000002,0.08000000000000007,0.02,0.04000000000000001,1.5,0.5999999999999659,0.0,0.0,0.0,1.3645500000000002e-18,0.07000000000000028,0.05000000000000071,0.43999999999999995,0.020000000000010232,1.2700000000000102,65.59999999999991,0.5099999999999909,0.40999999999996817,1.849999999999909,0.9200000000000728,2.0,0.0,0.0,0.0,0.0,0.0,0.0,110.20000000000005,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,971,4855,4884,0.00021479999999485244,2.6999999960253263e-06,10.0,0.0,0.0,0.0,19.170000000000016,1.11,0.19999999999999996,0.05,0.09000000000000001,1.5,0.10000000000002274,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.16000000000000014,0.129999999999999,0.04999999999999982,0.01999999999998181,0.04000000000000625,7.0,0.4600000000000364,0.38999999999998636,3.2000000000000455,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69999999999999,0.0,1.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,972,4860,4889,0.0002749999999949182,4.389999999432348e-05,2.0,0.0,0.0,0.1600000000000037,34.28999999999999,0.15000000000000013,0.91,0.04,0.04,1.1000000000000227,0.9000000000000341,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.23999999999999844,0.05999999999999872,0.020000000000000018,0.01999999999998181,0.04999999999999716,0.20000000000004547,0.3199999999999932,0.3499999999999659,1.3899999999998727,0.08000000000015461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.600000000000023,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,973,4865,4894,0.00026819999999361244,4.849999999123611e-05,3.0,0.0,0.0,0.0,41.94999999999999,1.01,0.8999999999999999,0.0,0.039999999999999994,1.5,0.8999999999999773,0.10000000000000142,0.0,0.0,1.3645500000000002e-18,0.09999999999999787,0.07000000000000028,0.1499999999999999,0.0,0.23000000000000398,18.59999999999991,0.27000000000003865,0.339999999999975,0.31999999999993634,0.2799999999999727,4.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,974,4870,4899,0.0002575000000035743,1.3400000000274304e-05,7.0,0.0,0.0,0.2700000000000031,6.939999999999998,0.32000000000000006,3.82,0.010000000000000002,0.12,0.39999999999997726,0.6000000000000227,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.0,0.020000000000003126,0.040000000000000036,0.0,0.12999999999999545,3.8999999999998636,0.2400000000000091,0.2300000000000182,0.029999999999972715,0.6999999999998181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.899999999999977,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,975,4875,4904,0.00023930000000405016,2.559999998652529e-05,5.0,0.0,0.0,0.14000000000000057,11.699999999999989,0.21999999999999997,2.46,0.019999999999999997,0.11,0.7000000000000455,0.39999999999997726,0.0,0.0,0.0,1.3645500000000002e-18,0.09999999999999787,0.0,0.07000000000000028,0.05000000000001137,0.09999999999999432,4.2999999999999545,0.21000000000003638,0.2300000000000182,0.2999999999999545,1.0800000000001546,2.0,0.0,0.0,0.0,0.0,0.0,0.0,114.10000000000002,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,976,4880,4909,0.0002172000000015828,2.559999998652529e-05,7.0,0.0,0.0,0.020000000000003126,5.660000000000025,0.1499999999999999,2.45,0.01,0.07,0.10000000000002274,0.5,0.0,0.0,0.0,1.3645500000000002e-18,0.05999999999999872,0.0,0.040000000000000036,0.05999999999997385,0.060000000000002274,8.200000000000045,0.19999999999998863,0.17000000000001592,0.34999999999990905,0.20000000000004547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.69999999999999,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,977,4885,4914,0.00022179999999849542,5.609999999478532e-05,6.0,0.0,0.0,0.05999999999999517,55.74000000000001,0.9500000000000001,1.63,0.03,0.04,0.30000000000001137,0.39999999999997726,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.19000000000000128,0.030000000000001137,0.009999999999999787,0.020000000000010232,0.2600000000000051,2.900000000000091,0.049999999999954525,0.08999999999997499,2.1200000000001182,1.7999999999999545,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,978,4890,4919,0.00021879999999896427,2.8599999993161873e-05,5.0,0.0,0.0,0.35999999999999943,25.080000000000013,0.36,0.68,0.049999999999999996,0.19,0.4000000000000341,0.0999999999999659,0.0,0.0,0.0,1.3645500000000002e-18,0.15000000000000213,0.04999999999999716,0.020000000000000462,0.0,0.01999999999999602,3.400000000000091,0.12000000000000455,0.12000000000000455,1.1100000000001273,0.6100000000001273,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.700000000000017,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,979,4895,4924,0.00028149999999982356,2.099999998961266e-05,0.0,0.0,0.0,0.21999999999999886,118.75999999999999,0.16,4.18,0.0,0.030000000000000006,0.19999999999998863,0.8999999999999773,0.0,0.0,0.09999999999999987,1.3645500000000002e-18,0.17999999999999972,0.10999999999999943,0.009999999999999787,0.009999999999990905,0.09000000000000341,5.7000000000000455,0.03999999999996362,0.09000000000003183,1.6000000000001364,0.41000000000008185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.70000000000002,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,980,4900,4929,0.00022890000000330701,1.3400000000274304e-05,5.0,0.0,0.0,0.020000000000003126,0.4299999999999784,0.06000000000000005,3.25,0.009999999999999998,0.01,0.8999999999999773,0.19999999999998863,0.10000000000000142,0.0,0.0,1.3645500000000002e-18,0.0,0.17999999999999972,0.0,0.01999999999998181,0.09999999999999432,3.5,0.01999999999998181,0.01999999999998181,0.9100000000000819,0.8599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.19999999999999,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,981,4905,4934,0.00029149999999589227,2.8599999993161873e-05,4.0,0.0,0.0,0.25,53.70000000000002,0.26,4.38,0.039999999999999994,0.05,0.0999999999999659,0.39999999999997726,0.10000000000000142,0.0,0.0,1.3645500000000002e-18,0.129999999999999,0.05999999999999872,0.2999999999999998,0.0,0.2400000000000091,3.6000000000001364,0.03000000000002956,0.08999999999997499,0.42000000000007276,0.22000000000002728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,0.0,0.0
