flight_id,subseq_id,window_idx,top1_feature,top1_contrib,top2_feature,top2_contrib,top3_feature,top3_contrib,top4_feature,top4_contrib,top5_feature,top5_contrib
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,562,VSpd,0.6028337949934496,VSpdG,0.34573366761876667,AltB,0.012572133367955152,TAS,0.012572133367955152,E1_EGT4,0.007040394686054199
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,563,VSpd,0.6895213113996215,VSpdG,0.16297024396607734,E1_RPM,0.06618080973241719,AltB,0.033090404866208595,Roll,0.013567065995145523
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,564,VSpd,0.8494693710968572,VSpdG,0.06210494782492511,E1_RPM,0.03157878702962294,AltB,0.03157878702962294,HDG,0.007368383640245383
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,565,VSpd,0.8132080189575379,VSpdG,0.09782704275358288,E1_RPM,0.0638362906103911,HDG,0.008290427351998551,Roll,0.008041714531438595
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,566,VSpdG,0.5670250903092673,VSpd,0.28847761256977816,E1_RPM,0.09282517341357358,AltB,0.014391499754042313,HDG,0.01007404982782966
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,567,VSpd,0.4349018467194903,VSpdG,0.42438195597971157,E1_RPM,0.0968308124911498,E1_EGT4,0.008846271758450434,Roll,0.007889918054834076
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,568,VSpd,0.5804255005412714,VSpdG,0.3239359311642247,E1_RPM,0.040129376547210806,AltB,0.029009187865452958,HDG,0.0072522969663632395
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,569,VSpdG,0.4700680475415455,VSpd,0.42873791200558353,AltB,0.049795344019231524,E1_RPM,0.02190995136846006,E1_EGT2,0.008266027107191709
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,570,VSpd,0.4912060882373726,VSpdG,0.4369310583348416,AltB,0.02560142919930712,E1_RPM,0.016214238492895286,Roll,0.010496585971715919
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,571,VSpd,0.8212908114010022,VSpdG,0.06819319064219517,E1_RPM,0.04633639876969436,AltB,0.03497086699599754,Pitch,0.006294756059279557
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,572,VSpd,0.7080285413842856,VSpdG,0.21976510622537232,AltB,0.04345637693722051,E1_RPM,0.00993288615707841,Roll,0.007884228387181436
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,573,VSpd,0.5445121162126668,VSpdG,0.4227597086068297,E1_RPM,0.00955389171993053,TAS,0.0059711823249552235,AltB,0.0059711823249552235
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,574,VSpdG,0.7753732228555373,VSpd,0.14893192696104118,E1_RPM,0.03129308971166162,E1_EGT4,0.011010531565213687,HDG,0.010431029903886217
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,575,VSpd,0.6074784328763154,VSpdG,0.3671092687885647,AltB,0.011654262501224276,E1_RPM,0.003496278750366753,E1_OilP,0.0019229533127020785
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,576,VSpd,0.6201476912255255,VSpdG,0.27017463753759113,AltB,0.04559909494305335,Roll,0.01789764476514844,HDG,0.011399773735763338
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,577,VSpd,0.7588004113225435,VSpdG,0.11204911592549131,E1_RPM,0.04842800773050811,AltB,0.047478438951479386,Roll,0.013199006028511267
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,578,VSpd,0.8307854100199155,E1_RPM,0.08339277464558469,AltB,0.04834363747570063,Roll,0.01377793668057468,TAS,0.012085909368925158
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,579,VSpd,0.7771656727884947,VSpdG,0.0940995381519755,E1_RPM,0.05066898208183074,AltB,0.03619213005845209,E1_EGT4,0.012425964653401558
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,580,VSpd,0.471932093755207,VSpdG,0.3705640337878723,E1_RPM,0.10875248817687436,AltB,0.013426233108256245,E1_EGT2,0.01168082280418452
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,581,VSpd,0.6109308638084386,VSpdG,0.23737188649784619,E1_RPM,0.05431390623255431,AltB,0.040232523135228127,Roll,0.012069756940568438
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,582,VSpdG,0.8644536318775834,E1_RPM,0.07142731280344605,AltB,0.018314695590626765,E1_EGT2,0.013552874737063974,E1_EGT4,0.006593290412627968
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,583,VSpd,0.6088844965334366,VSpdG,0.31063238640153135,AltB,0.03376438982625342,Roll,0.013955947794851412,E1_RPM,0.007878357626128868
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,584,VSpd,0.673189663578059,VSpdG,0.20099782316592546,E1_RPM,0.08876553611896014,AltB,0.010202935186087586,E1_EGT4,0.009182641667479756
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,585,VSpd,0.5344514239754711,VSpdG,0.387834498367555,AltB,0.042232431764162075,TAS,0.007038738627360346,Roll,0.005279053970520259
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,586,VSpd,0.468670827443973,VSpdG,0.44852289425748604,AltB,0.049835877139720666,E1_RPM,0.015662704243910915,Pitch,0.004058064281377253
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,587,VSpd,0.7354452029447783,VSpdG,0.13319617384832078,E1_RPM,0.05901096309735727,AltB,0.016860275170673504,E1_EGT2,0.012476603626298547
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,588,VSpdG,0.43892843596968756,VSpd,0.36713759856108613,E1_RPM,0.11655161859081649,AltB,0.024798216721451275,TAS,0.012399108360725638
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,589,VSpd,0.687351366845087,VSpdG,0.076155407122041,AltB,0.058581082401569916,HDG,0.05272297416141326,E1_RPM,0.04100675768109716
