Lcl_Date,Lcl_Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
2017-05-09, 13:57:57,  -05:00,    CKN,   47.8666573,  -96.6830673,  1821.6, 29.95,  1802.2,  12.2,  93.05, 111.46,   69.04,  -4.72,  -6.66,   0.04,  -0.08, 117.0, 116.5,  28.1,  28.0,   1.1,   0.0,  16.45,  21.72,     3.26,  164.99,   68.45, 1831.0,  291.69,  290.93,  306.94,  316.58, 1445.40, 1246.00, 1450.76, 1422.86,  1713.2,  96, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.037,       ,  17.91, -53.4,    3.1,  117.6,    2.8,       ,      ,       ,      ,      , -236.2, 3DDiff, 1852,      ,     10,  14.0,     15
2017-05-09, 13:57:58,  -05:00,    CKN,   47.8664055,  -96.6823730,  1809.6, 29.95,  1797.5,  12.5,  92.38, 111.32, -207.92,  -4.37,  -2.92,   0.00,  -0.16, 115.6, 115.5,  28.1,  28.0,   1.1,  -0.0,  16.45,  21.67,     3.23,  164.90,   68.45, 1831.5,  291.20,  290.39,  306.46,  316.14, 1446.57, 1245.92, 1449.41, 1423.30,  1708.5,  95, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.037,       ,  17.84, -53.6,    3.1,  117.6,    2.8,       ,      ,       ,      ,      , -271.7, 3DDiff, 1852,      ,     10,  14.0,     15
2017-05-09, 13:57:59,  -05:00,    CKN,   47.8661690,  -96.6816940,  1806.6, 29.95,  1791.7,  12.5,  94.01, 111.07, -233.11,  -3.81,   1.37,  -0.01,   0.09, 114.8, 115.0,  28.1,  28.1,   1.1,   0.0,  16.61,  21.75,     3.22,  164.83,   68.40, 1836.8,  290.77,  289.98,  306.09,  315.74, 1446.80, 1245.32, 1448.93, 1423.22,  1702.7,  97, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.037,       ,  17.76, -53.9,    3.1,  117.6,    2.8,       ,      ,       ,      ,      , -330.7, 3DDiff, 1852,      ,     10,  14.0,     16
2017-05-09, 13:58:00,  -05:00,    CKN,   47.8659286,  -96.6810226,  1810.6, 29.95,  1788.1,  12.5,  95.46, 110.80, -179.29,  -5.15,  -5.79,   0.09,  -0.10, 115.5, 114.8,  28.1,  28.1,   1.2,   0.0,  16.72,  21.75,     3.21,  164.76,   68.84, 1844.2,  290.34,  289.56,  305.72,  315.38, 1448.08, 1244.06, 1448.58, 1422.03,  1699.1,  98, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.037,       ,  17.66, -54.1,    3.0,  117.7,    2.8,       ,      ,       ,      ,      , -240.2, 3DDiff, 1852,      ,     10,  14.5,     16
2017-05-09, 13:58:01,  -05:00,    CKN,   47.8656960,  -96.6803436,  1799.6, 29.95,  1777.3,  12.5,  93.12, 110.27, -207.13,  -4.95,  -5.98,   0.01,   0.09, 114.1, 114.4,  28.1,  28.0,   1.1,   0.0,  16.74,  21.75,     3.19,  164.69,   68.54, 1841.3,  289.94,  289.16,  305.33,  315.03, 1449.29, 1244.20, 1448.10, 1422.30,  1688.3,  96, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.045,       ,  17.54, -54.5,    3.0,  117.7,    2.8,       ,      ,       ,      ,      , -578.7, 3DDiff, 1852,      ,     10,  14.5,     16
2017-05-09, 13:58:02,  -05:00,    CKN,   47.8654709,  -96.6796722,  1784.6, 29.95,  1767.4,  12.5,  94.04, 110.25, -475.36,  -6.59,  -2.74,  -0.02,  -0.08, 112.2, 113.4,  28.1,  28.0,   1.1,  -0.0,  16.85,  21.80,     3.19,  164.65,   68.65, 1839.9,  289.53,  288.79,  305.02,  314.70, 1449.42, 1245.23, 1448.35, 1422.91,  1678.4,  97, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.038,       ,  17.40, -54.8,    3.0,  117.8,    2.8,       ,      ,       ,      ,      , -629.9, 3DDiff, 1852,      ,     10,  14.0,     15
2017-05-09, 13:58:03,  -05:00,    CKN,   47.8652534,  -96.6789703,  1780.6, 29.95,  1757.6,  12.5,  93.22, 110.51, -452.18,  -6.61,   1.66,   0.08,   0.09, 113.6, 112.7,  28.1,  28.1,   1.0,  -0.0,  16.82,  21.80,     3.20,  164.59,   68.47, 1836.2,  289.14,  288.44,  304.71,  314.41, 1449.94, 1245.17, 1447.64, 1422.58,  1668.6,  96, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.030,       ,  17.26, -55.1,    2.9,  117.8,    2.8,       ,      ,       ,      ,      , -598.4, 3DDiff, 1852,      ,     10,  14.0,     15
2017-05-09, 13:58:04,  -05:00,    CKN,   47.8650322,  -96.6782913,  1761.6, 29.95,  1747.0,  12.5,  91.02, 111.11, -703.51,  -6.17,  -2.37,  -0.00,   0.05, 112.2, 113.1,  28.1,  28.1,   1.2,   0.0,  16.82,  21.93,     3.26,  164.55,   68.63, 1830.1,  288.62,  287.96,  304.26,  313.97, 1449.84, 1244.70, 1447.09, 1420.34,  1658.0,  93, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.042,       ,  17.11, -55.5,    2.9,  117.9,    2.8,       ,      ,       ,      ,      , -622.0, 3DDiff, 1852,      ,     10,  14.0,     15
2017-05-09, 13:58:05,  -05:00,    CKN,   47.8647957,  -96.6775818,  1747.6, 29.95,  1734.1,  12.5,  91.70, 111.44, -751.90,  -5.28,  -2.32,  -0.05,  -0.08, 109.7, 113.0,  28.1,  28.0,   1.2,   0.0,  16.91,  21.88,     3.22,  164.50,   68.48, 1834.5,  288.20,  287.56,  303.89,  313.63, 1449.10, 1243.56, 1447.05, 1418.67,  1645.1,  94, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.039,       ,  16.98, -55.9,    2.9,  117.9,    2.8,       ,      ,       ,      ,      , -732.3, 3DDiff, 1852,      ,     10,  14.0,     16
2017-05-09, 13:58:06,  -05:00,    CKN,   47.8645782,  -96.6768723,  1749.6, 29.95,  1724.4,  12.5,  96.63, 111.61, -561.57,  -5.02,  -1.79,   0.07,  -0.15, 110.0, 112.3,  28.1,  28.0,   1.1,  -0.0,  16.99,  22.03,     3.23,  164.43,   69.03, 1847.8,  287.80,  287.12,  303.54,  313.25, 1449.00, 1242.78, 1446.36, 1417.15,  1635.4,  99, NAV1,  326.0, 114.30, 112.80, 122.700, 126.425, -5.042,       ,  16.87, -56.2,    2.8,  118.0,    2.8,       ,      ,       ,      ,      , -610.2, 3DDiff, 1852,      ,     10,  14.5,     16
