Lcl_Date,Lcl_Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
2017-05-04, 15:05:36,  -05:00,   RW31,   47.8435478,  -96.6725922,  2997.4, 30.03,  3014.0,  15.0,  94.88,  87.12,  257.25,   3.37,   5.64,  -0.01,  -0.13, 256.5, 243.9,  28.1,  28.0,   1.2,   0.0,   8.01,  17.94,    12.14,  172.10,   71.85, 2566.0,  369.66,  383.90,  378.45,  391.64, 1362.40, 1381.97, 1374.49, 1420.25,  2925.1, 100,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.311,       ,  19.57, -56.1,    2.3,   98.4,    2.8,       ,      ,       ,      ,      , 145.7, 3DDiff,   40,    50,     10,   8.5,     16
2017-05-04, 15:05:36,  -05:00,   RW31,   47.8433952,  -96.6731567,  3001.4, 30.03,  3013.2,  15.0,  96.02,  87.49,  246.38,   3.11,   6.56,  -0.05,  -0.03, 255.9, 244.7,  28.0,  28.0,   1.1,  -0.0,   8.01,  18.05,    12.04,  172.12,   71.82, 2578.6,  369.76,  384.07,  378.53,  391.79, 1364.12, 1383.54, 1377.34, 1422.71,  2924.3, 101,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.386,       ,  19.78, -56.0,    2.3,   98.1,    2.8,       ,      ,       ,      ,      , -23.6, 3DDiff,   40,    50,     10,   8.5,     16
2017-05-04, 15:05:37,  -05:00,   RW31,   47.8432465,  -96.6737061,  2999.4, 30.03,  3011.6,  15.0,  95.49,  87.92,  157.36,   2.90,   3.94,  -0.03,  -0.12, 257.0, 245.5,  28.1,  28.0,   1.1,  -0.0,   8.06,  18.05,    11.31,  172.15,   71.58, 2555.8,  370.03,  384.38,  378.84,  392.10, 1365.63, 1385.00, 1379.06, 1424.32,  2922.6, 101,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.460,       ,  20.00, -55.9,    2.4,   97.7,    2.8,       ,      ,       ,      ,      , -149.6, 3DDiff,   40,    50,     10,   9.0,     16
2017-05-04, 15:05:38,  -05:00,   RW31,   47.8430977,  -96.6742706,  2994.4, 30.03,  3007.9,  15.0,  94.60,  88.31,  -25.34,   3.53,   1.63,  -0.03,  -0.01, 258.2, 246.0,  28.1,  28.1,   1.2,   0.0,   8.16,  18.14,    11.21,  172.17,   71.04, 2536.5,  370.24,  384.65,  379.05,  392.35, 1367.46, 1386.31, 1380.65, 1425.81,  2918.9, 100,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.535,       ,  20.21, -55.8,    2.4,   97.4,    2.8,       ,      ,       ,      ,      , -244.1, 3DDiff,   40,    50,     10,   8.5,     16
2017-05-04, 15:05:39,  -05:00,   RW31,   47.8429527,  -96.6748505,  2987.4, 30.03,  3004.8,  15.0,  94.52,  88.73, -184.32,   3.34,  -0.92,  -0.01,  -0.04, 259.0, 246.0,  28.1,  28.1,   1.2,   0.0,   8.16,  18.24,    11.18,  172.20,   71.55, 2534.8,  370.29,  384.80,  379.15,  392.49, 1369.37, 1387.72, 1382.08, 1427.20,  2915.9, 100,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.609,       ,  20.41, -55.5,    2.4,   97.1,    2.8,       ,      ,       ,      ,      , -236.2, 3DDiff,   40,    50,     10,   8.5,     16
2017-05-04, 15:05:40,  -05:00,   RW31,   47.8428001,  -96.6754150,  2982.4, 30.03,  3001.8,  14.8,  95.30,  89.12, -288.51,   3.81,   1.31,  -0.03,   0.04, 258.5, 245.6,  28.1,  28.1,   1.1,   0.0,   8.16,  18.24,    11.22,  172.25,   71.88, 2542.7,  370.57,  385.11,  379.47,  392.81, 1371.46, 1387.91, 1383.56, 1428.86,  2912.8, 100,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.685,       ,  20.62, -55.2,    2.4,   96.8,    2.8,       ,      ,       ,      ,      , -189.0, 3DDiff,   40,    50,     10,   8.5,     16
2017-05-04, 15:05:41,  -05:00,   RW31,   47.8426361,  -96.6760101,  2983.4, 30.03,  2999.0,  14.8,  95.17,  89.34, -194.53,   4.20,   0.52,  -0.02,  -0.01, 258.2, 245.5,  28.1,  28.0,   1.1,   0.0,   8.21,  18.35,    11.17,  172.31,   72.10, 2533.0,  370.74,  385.34,  379.61,  393.03, 1373.87, 1388.32, 1385.66, 1430.70,  2910.1, 100,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.764,       ,  20.82, -54.8,    2.5,   96.5,    2.8,       ,      ,       ,      ,      , -173.2, 3DDiff,   40,    50,     10,   8.5,     16
2017-05-04, 15:05:42,  -05:00,   RW31,   47.8424950,  -96.6765518,  2976.4, 30.03,  2997.2,  14.8,  94.13,  89.47, -221.02,   4.00,   2.27,  -0.00,   0.06, 258.3, 245.4,  28.1,  28.1,   1.2,   0.0,   8.24,  18.24,    11.20,  172.38,   71.52, 2538.5,  370.88,  385.51,  379.81,  393.28, 1375.25, 1388.84, 1386.22, 1432.02,  2908.2,  99,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.837,       ,  21.03, -54.3,    2.5,   96.2,    2.8,       ,      ,       ,      ,      , -133.9, 3DDiff,   40,    50,     10,   8.5,     16
2017-05-04, 15:05:44,  -05:00,   RW31,   47.8423424,  -96.6771164,  2976.4, 30.03,  2995.3,  14.8,  95.81,  89.59, -201.41,   3.53,   1.77,  -0.06,  -0.08, 257.0, 245.5,  28.1,  28.1,   1.1,   0.0,   8.24,  18.14,    11.16,  172.45,   71.87, 2538.5,  371.02,  385.75,  379.99,  393.48, 1376.14, 1389.94, 1386.47, 1432.45,  2906.4, 101,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.912,       ,  21.22, -53.9,    2.5,   95.9,    2.8,       ,      ,       ,      ,      , -47.2, 3DDiff,   40,    50,     10,   9.0,     16
2017-05-04, 15:05:45,  -05:00,   RW31,   47.8421860,  -96.6777115,  2980.4, 30.03,  2994.1,  14.8,  96.75,  89.78,  -28.80,   2.92,   2.08,  -0.01,  -0.08, 258.4, 245.4,  28.1,  28.1,   1.2,   0.0,   8.24,  18.24,    11.09,  172.52,   71.86, 2543.0,  371.18,  385.92,  380.15,  393.67, 1377.03, 1390.90, 1387.36, 1432.71,  2905.1, 102,  GPS,  312.4, 110.30, 114.30, 118.100, 126.425,  4.990,       ,  21.41, -53.3,    2.5,   95.6,    2.8,       ,      ,       ,      ,      , -39.4, 3DDiff,   40,    50,     10,   9.0,     16
