window_start,decision_score,is_anomaly
5850,-1.9162860546083553,1
5875,-1.4264215069286874,1
5900,-1.6566917843754774,1
5925,-1.1605077470736833,1
5950,0.007984357644081896,0
5975,0.01869405637509791,0
6000,1.1381030270051533,0
6025,1.4189512513159532,0
6050,1.3081941091714833,0
6075,-0.018062879370152274,1
6100,1.4091438459833445,0
6125,0.0860488352305171,0
6150,0.4265013378298783,0
6175,0.8350889095882077,0
6200,0.7240155384902285,0
6225,0.7481098338397376,0
