Latitude,Longitude,AltB,BaroA,OAT,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT2,E1_CHT4,E1_EGT2,E1_EGT4,TAS,CRS,NAV1,NAV2,COM1,COM2,MagVar,VSpdG,HAL,HPLfd
47.9482651,-97.1729813,828.9,30.01,24.8,0.0,17.51,2.0,-0.53,0.01,0.03,3.7,267.0,28.0,27.9,5.7,0.3,23.76,23.8,1.97,147.22,60.81,1122.0,161.27,195.04,1075.59,1076.43,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-7.9,3704.0,55.5
47.9482651,-97.1729813,828.9,30.01,24.8,0.0,22.08,1.94,-0.55,0.02,-0.0,3.7,267.0,28.0,27.9,5.9,0.4,23.79,23.75,1.95,147.14,60.7,1117.2,161.79,195.7,1079.19,1077.07,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,56.0
47.9482651,-97.1729813,826.9,30.01,24.8,0.0,-12.98,1.94,-0.55,0.01,-0.01,3.6,267.0,28.0,27.9,5.9,0.3,23.79,23.8,1.96,147.07,60.67,1114.1,162.34,196.34,1081.94,1076.86,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,39.0
47.9482651,-97.1729736,825.9,30.01,24.8,0.0,-55.47,1.97,-0.57,0.01,0.0,3.6,267.0,28.0,27.9,5.7,0.3,23.79,23.8,1.91,146.99,60.82,1119.6,162.96,197.09,1083.02,1076.84,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,39.5
47.9482651,-97.1729736,827.9,30.01,24.8,0.0,-13.66,1.96,-0.55,0.01,-0.02,3.7,267.0,28.0,27.9,5.7,0.3,23.81,23.8,2.01,146.92,60.84,1122.3,163.54,197.79,1082.45,1077.35,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,40.0
47.9482651,-97.1729813,828.9,30.01,24.8,0.0,25.7,2.01,-0.53,0.0,0.0,3.7,267.0,28.0,27.9,5.7,0.3,23.83,23.8,1.98,146.84,60.69,1116.3,164.17,198.55,1082.33,1077.49,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,38.0
47.9482651,-97.1729736,828.9,30.01,24.8,0.0,20.63,1.99,-0.51,0.0,-0.01,3.7,267.0,28.0,27.9,5.9,0.3,23.81,23.8,1.97,146.77,60.78,1117.9,164.64,199.16,1084.31,1078.68,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,38.0
47.9482651,-97.1729736,828.9,30.01,24.8,0.0,20.78,1.99,-0.54,0.01,0.01,3.7,267.0,28.0,27.9,5.7,0.3,23.79,23.8,1.96,146.7,60.79,1118.6,165.13,199.79,1084.67,1080.73,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,38.5
47.9482651,-97.1729736,827.9,30.01,24.8,0.0,-7.25,1.99,-0.54,0.02,-0.01,3.7,267.0,28.0,27.9,5.6,0.3,23.79,23.8,1.95,146.62,60.65,1111.4,165.67,200.47,1087.38,1082.48,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,38.5
47.9482651,-97.1729813,827.9,30.01,24.8,0.0,-14.2,2.02,-0.56,0.01,0.02,3.7,267.0,28.0,27.9,5.5,0.3,23.76,23.8,1.96,146.55,60.77,1112.3,166.2,201.12,1091.31,1084.18,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,39.5
47.9482651,-97.1729813,827.9,30.01,24.8,0.0,-2.11,2.03,-0.55,0.01,0.0,3.7,267.0,28.0,27.9,5.6,0.3,23.79,23.82,1.93,146.46,60.83,1120.4,166.92,201.9,1092.97,1086.21,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,40.0
47.9482651,-97.1729813,827.9,30.01,24.8,0.0,-0.09,2.02,-0.56,0.02,-0.02,3.7,267.0,28.0,27.9,5.7,0.3,23.79,23.82,1.97,146.4,60.76,1116.8,167.4,202.6,1092.17,1087.42,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,38.0
