file,window_idx,prototype_id,nearest_dist,top3_sensors,viol_count_AltMSL,viol_sev_AltMSL,viol_count_E1 RPM,viol_sev_E1 RPM,viol_count_E1 FFlow,viol_sev_E1 FFlow,viol_count_E1 CHT1,viol_sev_E1 CHT1,viol_count_E1 EGT1,viol_sev_E1 EGT1,viol_count_NormAc,viol_sev_NormAc,viol_count_IAS,viol_sev_IAS
window_6700.csv,6700,7,9.359058070936568,"E1 EGT1, E1 RPM, E1 FFlow",30,23205990.17071699,30,1048207204.4140495,30,248554206.24113008,30,112027117.44173263,30,1281189927.5180116,27,3572012524.5680804,0,0.0
window_6725.csv,6725,3,13.362191511822989,"E1 FFlow, E1 RPM, E1 EGT1",19,36.07666214643994,29,127.9968749310327,30,230.18158415478842,14,29.423655967208873,29,91.5627167866781,6,24.14387014405278,0,7.771561172376096e-08
window_675.csv,675,0,7.280379871825213,"E1 EGT1, E1 CHT1, E1 RPM",0,4.056181476265045,27,684.6430572611763,26,345.5072300953799,30,39.80144476122317,30,346.39105517905745,6,18.12181471293235,0,1.7763568394002505e-07
window_6750.csv,6750,0,15.019318656919623,"E1 EGT1, E1 CHT1, E1 RPM",1,17.6229048114228,29,1418.126861262582,23,1344.052302245537,30,38.44222736030114,30,834.6450381445651,14,58.80416474988033,0,1.7763568394002505e-07
window_6775.csv,6775,0,7.650335635361995,"E1 EGT1, E1 CHT1, E1 RPM",4,20.510753414193495,27,270.7911551531167,16,111.91621567922651,30,44.47102160354541,30,336.82968358728147,10,28.963203940444753,0,1.7763568394002505e-07
window_6800.csv,6800,0,6.428104436873682,"E1 RPM, E1 CHT1, E1 EGT1",7,24.3122111964582,30,263.77138050268786,5,18.5542373587517,30,50.462432439655515,27,87.99185981542917,7,18.282786096001814,0,1.7763568394002505e-07
window_6825.csv,6825,0,10.16845312545875,"E1 RPM, E1 CHT1, E1 EGT1",12,26.196354153779435,30,392.0548058146915,25,204.076193257856,30,56.44607725227765,29,385.65409586248234,18,43.49003209321145,0,1.7763568394002505e-07
window_6850.csv,6850,2,26.860250583310872,"AltMSL, IAS, E1 CHT1",30,8107099551.895035,30,1814265960.657381,30,2281271254.955377,30,2787057835.81794,30,1399406919.6161861,27,6332238433.078514,30,3326188042.325594
window_6875.csv,6875,2,33.661765753999816,"NormAc, AltMSL, E1 CHT1",30,6468723529.446225,30,132694907.23413894,30,279169279.07702,30,2040304013.8610575,30,180225906.67953455,30,11085967227.732855,30,687124523.5973612
window_6900.csv,6900,2,26.190626690567562,"AltMSL, E1 CHT1, IAS",30,2597521222.5217814,30,198158945.0422512,30,230386258.155516,30,1280933104.252779,30,135146672.0301488,28,10279861591.455488,30,952301853.9860862
window_6925.csv,6925,2,18.182232730148918,"NormAc, AltMSL, IAS",30,1293520961.8065727,30,145804858.5525365,30,94269167.08409666,30,793943958.3968859,30,76179612.6761069,30,7752100090.5465975,30,898139266.9617245
window_6950.csv,6950,2,22.373668080811633,"NormAc, AltMSL, E1 CHT1",30,4620215539.1750765,30,62581846.16440164,30,78833423.14734852,30,515768417.1884837,30,163566743.83239678,30,9403593744.335114,29,529261978.32626605
window_6975.csv,6975,4,22.50295189621874,"AltMSL, E1 CHT1, E1 EGT1",30,5445320788.463397,30,105041113.2952902,30,82906599.87704663,30,617333149.5368296,30,547407916.73277,29,8538296648.155372,30,305560581.5893038
window_700.csv,700,0,15.141123291697134,"E1 FFlow, E1 RPM, E1 EGT1",0,2.8004629782305486,30,1922.005894395364,30,2021.1862451146749,30,42.13316476236873,30,864.2133725536012,13,38.4821640410274,0,1.7763568394002505e-07
window_7000.csv,7000,4,19.63931966984845,"AltMSL, IAS, E1 CHT1",30,7029556553.669914,30,129634152.9464275,29,48192523.73341221,30,539586565.1304533,30,505200443.17690086,29,6074270239.64979,30,555631909.4531833
window_7025.csv,7025,4,22.646503056183626,"AltMSL, E1 EGT1, E1 CHT1",30,9287276397.503838,30,95989350.4706224,30,77854129.98225985,30,548147451.7631372,30,579500275.4983479,29,6277692097.853019,30,411532468.13679516
window_7050.csv,7050,4,26.851787530346076,"AltMSL, NormAc, E1 EGT1",30,11575645902.681692,30,98050429.74669787,29,114659528.32358237,30,597935132.0937927,30,698264407.6429211,30,8014883909.28315,30,279566592.4165986
window_7075.csv,7075,4,32.50459619004493,"AltMSL, E1 EGT1, E1 CHT1",30,14221014283.676558,30,81350550.15499099,30,200351379.6765975,30,668147627.5379281,30,679458482.426292,29,7926097537.527751,30,443487353.0132404
window_7100.csv,7100,4,41.68142951131213,"AltMSL, NormAc, E1 EGT1",30,20012783915.295177,30,97272616.767435,30,367904440.47212595,30,760990008.8494353,30,886928255.3506329,30,8707464276.185928,30,426051432.0166828
window_7125.csv,7125,4,46.94707909180335,"AltMSL, E1 EGT1, E1 CHT1",30,23834631236.261616,30,127889216.54381178,30,495955987.34495586,30,886671177.5129607,30,1119491830.5979097,28,8050264336.253991,30,333395556.03840536
window_7150.csv,7150,4,50.448105367914586,"AltMSL, E1 EGT1, E1 CHT1",30,25233444406.290646,30,127339809.78982565,30,528370779.7287238,30,1023919033.2778176,30,1200788317.8224735,29,8710861327.100857,30,455537280.62752235
window_7175.csv,7175,4,53.350793183192884,"AltMSL, NormAc, E1 EGT1",30,27431297312.783707,30,96115431.38308126,30,584313339.0598823,30,1136358843.9482353,30,1262468790.782234,30,7408811100.475428,30,424043801.0835775
window_7200.csv,7200,4,58.89467599294724,"AltMSL, NormAc, E1 FFlow",30,30326506571.83479,30,142143645.93217427,30,1313834204.3044846,30,1259813884.014635,30,1028719186.2740988,30,8755338594.410738,30,839517651.7839575
window_7225.csv,7225,4,59.03189629118103,"AltMSL, E1 FFlow, IAS",30,30782402612.537106,30,81411577.46070686,30,3347138580.1867456,30,1447479017.516002,30,480846230.42499596,28,6623196107.970143,30,2506883536.8810477
window_725.csv,725,0,17.270012211716853,"E1 RPM, E1 FFlow, E1 EGT1",2,12.207218239517333,30,1977.9472777508217,30,1877.789564881578,30,49.29016783365153,30,1244.286393646416,9,31.508577012691507,0,1.7763568394002505e-07
window_7250.csv,7250,4,59.91991808988306,"AltMSL, NormAc, E1 FFlow",30,30750203089.54131,30,122494561.50543435,30,4367557214.168519,30,1717405635.6941607,30,2707170454.975744,30,8047964749.381105,30,2992324258.3555956
window_7275.csv,7275,4,64.25517687115288,"AltMSL, NormAc, E1 FFlow",30,31108933597.772205,30,243455862.87983346,30,4673293939.703715,30,2077628157.3680341,30,4033635132.6585183,30,10955486092.54887,30,3673689133.94798
window_7300.csv,7300,4,62.82281412776711,"AltMSL, E1 FFlow, IAS",30,30596678430.984592,30,404907787.3392129,30,5067195456.354283,30,2451434977.337251,30,4112113376.4730563,29,9579032982.522402,30,4487679551.385308
window_7325.csv,7325,4,60.45815559326365,"AltMSL, NormAc, E1 FFlow",30,30631614878.819542,30,286206851.93069226,30,5592013012.217524,30,2901507110.1850495,30,3506486780.5462093,30,7847302433.973936,30,3506328200.992369
window_7350.csv,7350,4,66.84198290637295,"AltMSL, NormAc, E1 FFlow",30,31645223334.168633,30,162015796.5608892,30,5895596991.713367,30,3404108300.071067,30,3502582322.1631,30,11901731276.313427,30,4344145197.923324
window_7375.csv,7375,4,67.32082722481759,"AltMSL, NormAc, E1 FFlow",30,30952791422.356445,30,333771708.0893692,30,6531189914.44136,30,3927405480.707962,30,3719299228.345799,30,12610094829.113493,30,5406841933.654402
window_7400.csv,7400,4,63.48105070464414,"AltMSL, NormAc, E1 FFlow",30,30293463563.07145,30,214136644.9827708,30,5887614965.627051,30,4653340775.699406,30,3397960106.6483803,30,10832932491.069748,30,4374904368.505597
window_7425.csv,7425,4,67.38546782019118,"AltMSL, NormAc, E1 CHT1",30,30614832614.070705,30,72664752.31120633,30,5003219154.513815,30,5116321713.283322,30,3429867819.2185736,30,13021838757.201334,30,3259873098.329417
window_7450.csv,7450,4,64.60046905089727,"AltMSL, E1 FFlow, E1 CHT1",30,30903890880.669262,30,143512064.1135041,30,5304721466.328896,30,5142709400.053482,30,3588736246.984038,29,9755257323.080332,30,3957202338.987054
window_7475.csv,7475,4,61.45070983631255,"AltMSL, NormAc, E1 FFlow",30,30609601560.885876,30,139845969.97468168,30,5430383913.452878,30,5045373077.100913,30,3556622296.4275193,30,8407430253.5262165,30,4091272735.5433216
window_75.csv,75,0,6.066738473034886,"E1 EGT1, E1 CHT1, AltMSL",27,75.11709588313175,17,31.95197552679452,7,19.763615535237157,30,48.122914562016135,30,103.9852438845455,5,20.34594514870569,0,1.7763568394002505e-07
window_750.csv,750,0,10.370526859565182,"E1 EGT1, E1 CHT1, E1 RPM",4,19.224176484420692,29,588.8685674772305,19,277.65694510073337,30,57.52167124156182,30,584.8253341584632,8,26.637037149124087,0,1.7763568394002505e-07
window_7500.csv,7500,4,59.69580777301569,"AltMSL, E1 FFlow, E1 CHT1",30,30283452580.485386,30,138646781.2342281,30,5278129135.359563,30,5043333793.285532,30,3468613175.104133,29,6448680574.677334,30,3359805242.674271
window_7525.csv,7525,4,63.20132306637292,"AltMSL, E1 CHT1, E1 FFlow",30,30581049279.548576,30,90490477.08974415,30,4958196662.744755,30,4976549444.437869,30,3534094103.019778,29,9816818538.499077,30,3049072247.9792
window_7550.csv,7550,4,64.07764046638555,"AltMSL, E1 FFlow, E1 CHT1",30,30759337117.122288,30,120168438.37148505,30,5329967616.274712,30,4805190042.599936,30,3681146046.592552,29,10210922800.582703,30,3852353781.485318
window_7575.csv,7575,1,66.71471203825575,"AltMSL, IAS, E1 RPM",30,33603921350.670967,30,2236179294.286226,30,556594181.4934951,30,789872505.0192552,30,1741180988.7357988,29,9417967034.224457,30,2786783464.4812346
window_7600.csv,7600,4,61.92466217202636,"AltMSL, NormAc, E1 FFlow",30,30082502703.016006,30,264293638.98043588,30,5845980646.842202,30,4774330779.996992,30,3516625494.929003,30,8767398495.129187,30,4081565661.427867
window_7625.csv,7625,4,59.92044222527713,"AltMSL, E1 CHT1, E1 FFlow",30,29916410926.24789,30,116349126.92725496,30,4612067065.235619,30,4974792733.317635,30,3434889006.4580736,29,8230627845.702695,30,2517421646.49963
window_7650.csv,7650,4,61.71260482783147,"AltMSL, E1 CHT1, E1 FFlow",30,30286202576.12428,30,134604321.77213004,30,4378133918.579376,30,4847088719.088766,30,3829327558.5374675,28,9907791430.069674,30,1984566754.8481946
window_7675.csv,7675,4,63.5077031173233,"AltMSL, E1 CHT1, E1 FFlow",30,30656998351.59911,30,110010690.7836924,30,4297176941.819981,30,4417250617.115061,30,4023051840.0216527,29,11405682752.866072,30,2046594176.2785528
window_7700.csv,7700,4,66.34536651875551,"AltMSL, NormAc, E1 FFlow",30,31219471377.912357,30,311123479.1582094,30,5436782430.706957,30,3936351220.458174,30,4159174429.837564,30,12387924356.589628,30,4062415902.9673862
window_7725.csv,7725,4,65.219600693052,"AltMSL, E1 FFlow, IAS",30,30596182212.922245,30,340509150.8119451,30,6488299879.336077,30,3810411770.717708,30,3797703882.990144,27,11131516973.172462,30,4825709344.18936
window_775.csv,775,0,10.116603755024794,"E1 CHT1, E1 RPM, E1 EGT1",2,12.122906736797674,29,353.64015792253014,25,119.83068419041656,30,63.3470026360695,26,344.7092976546299,15,37.84183874522377,0,1.7763568394002505e-07
