flight_id,subseq_id,window_idx,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z,top4_feature,top4_z,top5_feature,top5_z
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1111,mae_Roll,12.127118131426526,mae_VSpdG,4.708826327500868,mae_GndSpd,4.115114137703766,mae_FQtyL,3.331999075244946,mae_FQtyR,1.781546677890768
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1112,mae_LatAc,1.6032756187796822,mae_Pitch,1.439733780236519,mae_NormAc,1.3355902660947963,mae_Latitude,1.1423935600146353,mae_HDG,0.7000849532106349
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1113,mae_Roll,4.205802770530679,mae_GndSpd,2.304554808646655,mae_FQtyR,1.781546677890768,mae_Latitude,1.721905350359761,mae_LatAc,1.1063679400690263
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1114,mae_FQtyR,2.631147908983885,mae_Roll,2.492292031152716,mae_Latitude,1.9331072934649696,mae_GndSpd,1.3144051755686268,mae_LatAc,1.1063679400690263
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1115,mae_HPLfd,2.0056397110299042,mae_Latitude,1.5610343826069208,mae_NormAc,1.3355902660947963,mae_VSpdG,1.2334120529269184,mae_FQtyR,1.21514585716189
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1116,mae_FQtyL,2.7982676112470495,mae_Roll,2.6979133198780714,mae_FQtyR,1.781546677890768,mae_VSpd,1.7185499201234833,mae_LatAc,1.6032756187796822
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1117,mae_Roll,2.942700568360639,mae_GndSpd,1.5124351021842242,mae_FQtyR,1.215145857161989,mae_Latitude,0.8418188570577458,mae_NormAc,0.6374439949546594
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1118,mae_GndSpd,3.9453742006046593,mae_E1_FFlow,3.6935257008837348,mae_Roll,1.9733430643696779,mae_Pitch,1.7985504264970473,mae_VSpdG,1.3786806919170465
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1119,mae_Roll,5.5178624223972355,mae_FQtyL,2.7982676112470495,mae_GndSpd,2.6723246723614396,mae_HPLfd,2.0056397110299042,mae_Longitude,1.418729534487839
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1120,mae_OAT,3.555836984432354,mae_TAS,2.65795156957193,mae_NormAc,2.033736537234933,mae_FQtyL,1.7308046832511939,mae_Longitude,1.531609324201485
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1121,mae_Roll,6.359930557177263,mae_FQtyL,3.1540885872456683,mae_NormAc,2.3828096728050014,mae_Longitude,1.5736536182979854,mae_TAS,1.0940811990062147
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1122,mae_FQtyL,2.2645361472490904,mae_Longitude,1.577766647086649,mae_E1_OilT,0.8813340097209938,mae_volt1,0.8053842826589555,mae_HPLfd,0.7970136508981372
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1123,mae_Longitude,1.5741106214678617,mae_NormAc,1.161053698309762,mae_FQtyL,0.5820316607399213,mae_Pitch,0.5636591613847606,mae_GndSpd,0.5505754586226466
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1124,mae_E1_CHT4,3.566420830176873,mae_E1_CHT2,2.32951540085322,mae_Longitude,1.6508871586181204,mae_HPLfd,0.7970136508981372,mae_FQtyL,0.5820316607399213
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1125,mae_Roll,2.2083388229129386,mae_VSpd,1.7113253596723952,mae_Longitude,1.6508871586181204,mae_AltB,1.255481733369956,mae_LatAc,0.8812627747735962
