window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_8400,exact_data/anomaly/window_8400.csv,0.625882829212015,AltMSL__min,2.05981641606317,AltMSL__mean,2.010819729731316,AltMSL__max,1.9648492104952362
window_7825,exact_data/anomaly/window_7825.csv,0.6231807378868358,AltMSL__min,2.0584638830158193,AltMSL__mean,2.0105550841809836,AltMSL__max,1.965696617737583
window_21575,exact_data/anomaly/window_21575.csv,0.6225921970851959,NormAc__max,1.1070055598479065,E1 EGT1__min,1.0774089153502615,E1 EGT1__mean,1.0643810503752087
window_3500,exact_data/anomaly/window_3500.csv,0.6224972650179961,AltMSL__min,2.5113488960284527,AltMSL__mean,2.4983818980841033,AltMSL__max,2.4896061453185814
window_17350,exact_data/anomaly/window_17350.csv,0.6221800201668115,E1 FFlow__min,2.2176611610435915,E1 FFlow__mean,1.9999561460271476,AltMSL__std,1.8467296266569002
window_9950,exact_data/anomaly/window_9950.csv,0.6216411637544288,E1 CHT1__min,1.6748388563821839,E1 CHT1__mean,1.6670731177195994,E1 CHT1__max,1.6003633578701821
window_8175,exact_data/anomaly/window_8175.csv,0.6208208316763555,AltMSL__min,2.0662943375004765,AltMSL__mean,2.0316440264730677,AltMSL__max,1.9876585887684082
window_8450,exact_data/anomaly/window_8450.csv,0.6207070450704142,AltMSL__min,2.036538610458779,AltMSL__mean,2.0158290919340294,AltMSL__max,1.988647230551146
window_2825,exact_data/anomaly/window_2825.csv,0.6193520144069061,AltMSL__min,2.4346816280286716,AltMSL__mean,2.4274734309420136,AltMSL__max,2.422943442253955
window_8775,exact_data/anomaly/window_8775.csv,0.6181167404735354,AltMSL__min,2.053907982224746,AltMSL__mean,2.027383705694061,NormAc__min,2.016945286248275
window_9675,exact_data/anomaly/window_9675.csv,0.6146226855781405,NormAc__min,2.326673212731623,NormAc__std,2.235302389531378,E1 CHT1__max,1.2953477878861352
window_8200,exact_data/anomaly/window_8200.csv,0.6134678468919821,AltMSL__min,2.0662943375004765,AltMSL__mean,2.027768859486063,AltMSL__max,1.994579081247575
window_8925,exact_data/anomaly/window_8925.csv,0.6117722659058896,AltMSL__min,2.0647994325534063,AltMSL__mean,2.0349072006249305,AltMSL__max,2.0051716717769117
