file,cluster_id,nearest_dist,viol_count_total,viol_sev_total
window_15525.csv,14,9.000488762327754,9,27.707782345435447
window_15550.csv,14,5.557316770924176,4,15.174559740687268
window_15575.csv,14,3.662612090155522,3,12.354495815505116
window_15600.csv,14,10.20244504410309,8,30.71390539464591
window_15625.csv,11,16.13696480562455,14,51.00101107955383
window_15650.csv,1,11.962847173550497,5,10.36791714842852
window_15675.csv,1,8.640487708582759,2,9.015080520213616
window_15700.csv,1,6.155670414661075,3,9.93308807219385
window_15725.csv,12,2.85663294883322,3,14.840255665965216
window_1575.csv,2,7.33008274751078,6,27.604650361623573
window_15750.csv,13,2.754792806608487,1,8.097111288505863
window_15775.csv,13,2.1567808694421364,1,7.309636372672104
window_15800.csv,13,3.2874408347633857,3,10.55679058994624
window_15825.csv,13,7.907067285414373,10,31.84937741847715
window_15850.csv,14,7.639514248972028,10,25.400981371745683
window_15875.csv,14,6.525164910117822,8,21.789095970956165
window_15900.csv,11,9.250546435280205,10,28.616761011779353
window_15925.csv,11,15.248426012959673,11,48.8813284035092
window_15950.csv,1,13.695474574335789,4,12.229432695158296
window_15975.csv,1,9.969674205692945,3,9.298140317993504
window_1600.csv,8,10.267709473642531,9,26.101066515424325
window_16000.csv,1,6.837099696256638,3,9.707168609004745
window_16025.csv,13,3.520460385679531,4,11.466215910091815
window_16050.csv,13,3.671218004654043,4,11.52380455385839
window_16075.csv,13,3.6108509638754898,3,11.84483008987621
window_16100.csv,13,4.3785293963253435,7,15.38652626535373
window_16125.csv,13,4.77250278136827,5,14.72082607266556
window_16150.csv,10,4.979700935804237,7,19.910344943461823
window_16175.csv,10,4.804670515395149,6,18.73972057224136
window_16200.csv,10,4.957420027590262,8,18.62077496529504
window_16225.csv,14,6.1186155979393,7,19.39895950719325
window_1625.csv,9,10.876794909647233,12,156.87559950697462
window_16250.csv,14,6.572212455895984,10,21.28003510205022
window_16275.csv,14,5.687421563661524,10,19.522238697421617
window_16300.csv,14,4.2884986417724855,4,11.990749312629534
window_16325.csv,0,9.530196775052762,8,23.960728904046608
window_16350.csv,1,14.4738913110014,4,12.821738680919092
window_16375.csv,1,11.684444150748403,4,10.722265488467963
window_16400.csv,1,7.7462276125279566,1,8.22239063543537
window_16425.csv,12,6.544514472531855,11,32.515674351012656
window_16450.csv,13,4.019377373334358,5,11.167103030008285
window_16475.csv,13,3.128143183982056,3,9.70907040879414
window_1650.csv,8,9.224783574415827,9,22.028358495514933
